"Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"Minisytravon-Counterscreen-washed.101","NCGC00100573-01","activity-counterscreen","null",4.000,-17.576,"O=C(CN1CC(C(=O)OCC)CCC1)N1C=2C(=O)Oc3c(cc(OCc4ccccc4)cc3)C=2CCC1"
"Minisytravon-Counterscreen-washed.102","NCGC00115716-01","activity-counterscreen","null",4.000,13.351,"O=C(NCc1occc1)c1c(NC(=O)C=2Oc3c(C(=O)C=2)cc(C)c(C)c3)sc2c1CCC2"
"Minisytravon-Counterscreen-washed.103","NCGC00134063-01","activity-counterscreen","null",4.000,8.665,"S(=O)(=O)(N1C(CC)CCCC1)c1ccc(C(=O)Nc2c(C(=O)N)c3c(s2)CCC3)cc1"
"Minisytravon-Counterscreen-washed.104","NCGC00111822-01","activity-counterscreen","null",4.000,13.587,"Clc1c(-c2oc(C)c(CS(=O)(=O)CC(=O)NC(CCc3ccccc3)C)n2)cccc1"
"Minisytravon-Counterscreen-washed.105","NCGC00119159-01","activity-counterscreen","null",4.000,17.811,"O=C(Nc1cc(-c2sc3c(n2)cccc3)ccc1)CCCC"
"Minisytravon-Counterscreen-washed.106","NCGC00098927-01","activity-counterscreen","null",4.000,0.139,"Brc1oc(C(=O)Nc2c(Cl)ccc(-c3oc4c(n3)ccc(C)c4)c2)cc1"
"Minisytravon-Counterscreen-washed.107","NCGC00102312-01","activity-counterscreen","null",4.000,6.099,"Brc1ccc(S(=O)(=O)Nc2c(C)c(S(=O)(=O)c3ccc(C)cc3)c(O)cc2C)cc1"
"Minisytravon-Counterscreen-washed.108","NCGC00122715-01","activity-counterscreen","null",4.000,6.303,"S(CC(=O)N1CCCCC1)c1nc(-c2ccc(OC)cc2)nc2Oc3c(C)ncc(CO)c3Cc12"
"Minisytravon-Counterscreen-washed.109","NCGC00105890-01","activity-counterscreen","null",4.000,-1.959,"O=C(OCC)CC(NC(=O)c1sc2N=C3C(C)=CC=CN3C(=O)c2c1)c1cc(OC)c(OCC(C)C)cc1"
"Minisytravon-Counterscreen-washed.110","NCGC00114696-01","activity-counterscreen","null",4.000,8.545,"S(Cc1ccccc1)c1sc(N2C(=O)C(C#N)=CC=3C(=O)N4C(=NC2=3)C=CC(C)=C4)nn1"
"Minisytravon-Counterscreen-washed.111","NCGC00111800-01","activity-counterscreen","null",4.000,6.786,"Clc1cc(NC(=O)CN2C(=O)N(c3cc(OC)ccc3)C(=O)c3sc4c(c23)cccc4)ccc1"
"Minisytravon-Counterscreen-washed.112","NCGC00102880-01","activity-counterscreen","null",4.000,9.704,"Clc1c(C)c(N2C(N)=C(C#N)C(c3scc(CN4CCOCC4)c3)C=3C(=O)CCCC2=3)ccc1"
"Minisytravon-Counterscreen-washed.113","NCGC00122650-01","activity-counterscreen","null",4.000,10.902,"O=C(Nc1cc(C)c(C)cc1)CN1C(=O)N(Cc2occc2)C(=O)c2oc3c(c12)cccc3"
"Minisytravon-Counterscreen-washed.114","NCGC00118533-01","activity-counterscreen","null",4.000,14.840,"S(=O)(=O)(n1c(NCc2cc(OC)c(OC)cc2)nc(-c2occc2)n1)c1cc2c(cc1)cccc2"
"Minisytravon-Counterscreen-washed.115","NCGC00117358-01","activity-counterscreen","null",4.000,15.097,"Clc1c(C(=O)Nc2sc3c(n2)ccc(OC)c3)nc(S(=O)(=O)Cc2c(F)cccc2)nc1"
"Minisytravon-Counterscreen-washed.116","NCGC00112805-01","activity-counterscreen","null",4.000,-0.011,"O=C(Nc1c(OCC)cccc1)CN1C(=O)N(Cc2occc2)C(=O)c2c1nccc2"
"Minisytravon-Counterscreen-washed.117","NCGC00128305-01","activity-counterscreen","null",4.000,-5.033,"O=C(N1CCN(c2c(C)ccc(C)c2)CC1)c1n(-c2sc(N3CCCCC3)nn2)ccc1"
"Minisytravon-Counterscreen-washed.118","NCGC00105030-01","activity-counterscreen","null",4.000,1.414,"Clc1c(C)ccc(N2C(SCC(C)C)=Nc3sc4c(c3C2=O)CCN(C(=O)C)C4)c1"
"Minisytravon-Counterscreen-washed.119","NCGC00140536-01","activity-counterscreen","null",4.000,-0.292,"O=C(Nc1c(OC)cccc1)c1c(NCc2c(OC)c(OC)c(OC)cc2)sc2c1CCC2"
"Minisytravon-Counterscreen-washed.120","NCGC00121480-01","activity-counterscreen","null",4.000,4.734,"Clc1c(C)cc(NC(=O)C2CCN(C3=Nc4c(-n5c3ccc5)cccc4)CC2)c(OC)c1"
"Minisytravon-Counterscreen-washed.121","NCGC00136244-01","activity-counterscreen","null",4.000,0.853,"S(=O)(=O)(C(CNC(=O)C(=O)NCc1cc(OC)ccc1)c1occc1)c1sccc1"
"Minisytravon-Counterscreen-washed.122","NCGC00100440-01","activity-counterscreen","null",4.000,3.915,"Clc1cc(F)c(NC(=O)c2c(N)c3c(s2)nc(-c2sccc2)cc3)cc1"
"Minisytravon-Counterscreen-washed.123","NCGC00118182-01","activity-counterscreen","null",4.000,8.595,"O=C(N1c2n(C3([C@]4[C@@]1CCCC4)CCCCC3)nc(-c1occc1)n2)c1ccc(C)cc1"
"Minisytravon-Counterscreen-washed.124","NCGC00120138-01","activity-counterscreen","null",4.000,15.763,"S(c1c(C(=O)NCc2ccc(OCCC)cc2)[nH]c2c1ccc(OC)c2)c1ccccc1"
"Minisytravon-Counterscreen-washed.125","NCGC00104724-01","activity-counterscreen","null",4.000,1.696,"S(=O)(=O)(c1c(SC(C)c2ccccc2)oc(-c2occc2)n1)c1ccc(C)cc1"
