"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00880345-01","activity-counterscreen","null",4.000,-1.821,"O=C(Nc1cc(C(=O)N(CC2=Nc3c(C(=O)N2)scc3)C)ccc1)C"
"NCGC00882876-01","activity-counterscreen","null",4.000,0.772,"O=C(O)c1cc(OCCN2CC(C)(C)OC(C)C2)ccc1"
"NCGC00884151-01","activity-counterscreen","null",4.000,2.119,"O[C@@]1C[C@@](c2nc(-c3ccccc3)[nH]n2)NC1"
"NCGC00884547-01","activity-counterscreen","null",4.000,1.398,"O=C(Nc1cc(C(=O)N2Cc3oc(-c4ccccc4)cc3CC2)ccc1)NC1CC1"
"NCGC00879717-01","activity-counterscreen","null",4.000,1.747,"O=C(Nc1c(C)cc(OC)c(OC)c1)c1cc2NC(=O)C(C)Sc2cc1"
"NCGC00880863-01","activity-counterscreen","null",4.000,3.191,"O=C(O)CN(C(=O)Cc1c2c(C)cccc2[nH]c1)Cc1c(C)cccc1"
"NCGC00879971-01","activity-counterscreen","null",4.000,-0.667,"O(C)c1ccc(Nc2sc(C)cn2)cc1"
"NCGC00883538-01","activity-counterscreen","null",4.000,-0.372,"O=C(CC)C1(C(=O)N2CCN(c3ccc(O)cc3)CC2)CC1"
"NCGC00879163-01","activity-counterscreen","null",4.000,1.877,"Fc1c(C)cc(NCc2ccncc2)cc1"
"NCGC00881305-01","activity-counterscreen","null",4.000,0.739,"O=C(N(CC=C)c1scc(-c2ccccc2)n1)c1n(C)nc(C(C)C)c1"
"NCGC00879134-01","activity-counterscreen","null",4.000,0.573,"O=C(N1C(C)c2n(ccc2)CC1)c1cc(COC)ccc1"
"NCGC00880393-01","activity-counterscreen","null",4.000,0.817,"Brc1cc(NCc2cn(C)nc2)cnc1"
"NCGC00630798-02","activity-counterscreen","null",4.000,-1.151,"Fc1cc2N(C(=O)c3nn(c(C)c3)-c3ccccc3)CCN(C)c2cc1"
"NCGC00639668-02","activity-counterscreen","null",4.000,-0.242,"O=C(NC1CCCCC1)Cc1c2c(c(C)c(C)cc2)oc1"
"NCGC00878963-01","activity-counterscreen","null",4.000,-0.698,"O=C(NCc1occc1)COC(=O)c1c(C)nc2c(c1)ccc(OC)c2"
"NCGC00281206-03","activity-counterscreen","null",4.000,-15.136,"O=C1N(CC)C(N)=C(c2nc(Nc3c(C)ccc(C)c3)sc2)C(=O)N1"
"NCGC00882342-01","activity-counterscreen","null",4.000,2.519,"FC(F)(F)c1cc2c(N(Cc3nc(-c4ncccn4)sc3)CCC2)cc1"
"NCGC00879641-01","activity-counterscreen","null",4.000,1.411,"N(c1scc(-c2c3c([nH]c2)cccc3)n1)c1ccccc1"
"NCGC00884383-01","activity-counterscreen","null",4.000,1.347,"O=[N+]([O-])c1c(C)nc(NC(C(N(C)C)c2ccccc2)C)cc1"
"NCGC00880344-01","activity-counterscreen","20.45077",-2.200,-52.011,"OCC(Nc1ncnc2sc3c(c12)CCC(C)C3)CC"
"NCGC00879827-01","activity-counterscreen","null",4.000,3.560,"S(=O)(=O)(Nc1cnc(N(C)C)nc1)c1c(C)cc(C)c(C(=O)O)c1"
"NCGC00883134-01","activity-counterscreen","null",4.000,-0.809,"Fc1c(NC(=O)c2occc2)ccc(O)c1"
"NCGC00880040-01","activity-counterscreen","null",4.000,-1.492,"O=C(O)CC(=Cc1nc(N(C(=O)C)c2c(C)c(C)ccc2)sc1)c1sc2c(n1)cccc2"
"NCGC00883455-01","activity-counterscreen","null",4.000,-1.616,"O=C(OCC)c1nc(N2CCC(OC)CC2)sc1"
"NCGC00880533-01","activity-counterscreen","null",4.000,-0.592,"Clc1ccc(OC(C(=O)N(CC2=Nc3c(C(=O)N2)scc3)C)C)cc1"
"NCGC00879517-01","activity-counterscreen","null",4.000,2.733,"Fc1ccc(-c2nc3sc(C(=O)N)c(N)c3c(-c3cc(OC)c(OC)cc3)c2)cc1"
"NCGC00879097-01","activity-counterscreen","null",4.000,-2.943,"O(C)c1c(OC)cc2N=C(CN(CC3CC3)C)NC(=O)c2c1"
"NCGC00639344-02","activity-counterscreen","null",4.000,-0.854,"Fc1ccc(-c2oc(CNC(=O)c3ccc(OC)cc3)cc2)cc1"
"NCGC00638935-02","activity-counterscreen","null",4.000,1.016,"Clc1c(C(=O)NCc2oc(-c3nc(C)sc3)cc2)ccc(F)c1"
"NCGC00880565-01","activity-counterscreen","null",4.000,-1.390,"S(=O)(=O)(N)c1cc(NC(=O)C(Nc2c(OC)ccc(NC(=O)C)c2)C)ccc1"
"NCGC00882339-01","activity-counterscreen","18.226768",-2.200,-55.584,"O=C(OCC)c1c(N2CCC(O)CC2)c2c(c(OC)cc(OC)c2)nc1"
"NCGC00884503-01","activity-counterscreen","null",4.000,-0.196,"Fc1cc(C(Nc2nnc(-n3nc(C)cc3)cc2)C)c(OC)cc1"
"NCGC00883473-01","activity-counterscreen","null",4.000,-0.952,"Clc1cc(CS(=O)(=O)Cc2c(C)oc(-c3ccccc3)n2)ccc1"
"NCGC00881590-01","activity-counterscreen","20.45077",-2.200,-52.396,"N#Cc1cc(CNc2cnc3[nH]nc(C)c3c2)ccc1"
"NCGC00884199-01","activity-counterscreen","null",4.000,-0.825,"O=C(N1C(C)(C)CC(c2ccccc2)C1)c1nn(C)c(O)c1"
"NCGC00879623-01","activity-counterscreen","null",4.000,0.530,"Clc1cc(-c2occ(CS(=O)(=O)c3n(C)cnn3)n2)ccc1"
"NCGC00880699-01","activity-counterscreen","null",4.000,0.772,"Clc1ccc(-c2n(C)c(SCC(=O)NC(C(=O)O)Cc3c4c([nH]c3)cccc4)nn2)cc1"
"NCGC00882482-01","activity-counterscreen","null",4.000,3.453,"Fc1cc2[nH]cc(CC(=O)N3CCC(n4cccc4)CC3)c2cc1"
"NCGC00879675-01","activity-counterscreen","null",4.000,0.199,"S(=O)(=O)(NC)c1c(OC)ccc(C(=O)N2Cc3c4c([nH]c3CC2)cccc4)c1"
"NCGC00881550-01","activity-counterscreen","null",4.000,1.225,"O(Cc1ccc(CNc2oc(C3OCCC3)nn2)cc1)C"
"NCGC00314997-06","activity-counterscreen","null",4.000,0.171,"O=C(NCc1oc(-c2nc(Nc3cc(C)cc(C)c3)sc2)cc1)C"
"NCGC00884640-01","activity-counterscreen","null",4.000,1.770,"Fc1c(N2C(=O)CC(C(CC)C)=N2)ncc(F)c1"
"NCGC00883296-01","activity-counterscreen","null",4.000,-1.976,"FC(F)(CNC1=NC(C)C(C)N1)CC"
"NCGC00882348-01","activity-counterscreen","null",4.000,3.474,"Fc1ccc(C(NC(=O)C2C(c3occc3)C2)CC(=O)O)cc1"
"NCGC00883758-01","activity-counterscreen","null",4.000,-0.931,"S(=O)(=O)(N)c1cc(C(=O)NC2=CN(CCC)C(=O)C=C2)c(OC)cc1"
"NCGC00883065-01","activity-counterscreen","null",4.000,-1.958,"S(Cc1cc(OCC(F)(F)F)ccc1)c1nc(N)c2c(scc2)n1"
"NCGC00880904-01","activity-counterscreen","null",4.000,2.389,"N#Cc1c(N2CC(C)N(c3scc(C)n3)CC2)nccc1"
"NCGC00883138-01","activity-counterscreen","null",4.000,0.476,"O=C(N1Cc2n(nc(C3CC3)c2)CC1)c1c(-c2occc2)nn(C)c1"
"NCGC00881295-01","activity-counterscreen","null",4.000,0.611,"Clc1c(Cl)ccc(-n2nc(C(=O)NC=3C=C(C)C(=O)NC=3)cc2)c1"
"NCGC00882420-01","activity-counterscreen","null",4.000,1.312,"Cc1c2c(-c3nc(-c4nccnc4)sc3)c[nH]c2ccc1"
"NCGC00646051-02","activity-counterscreen","null",4.000,2.806,"S(=O)(=O)(NC(C(=O)O)CC)c1c2ncc(C)cc2ccc1"
