"Entry ID","Entry Name","Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"76","Minisytravon-Cherrypicks-washed.76","NCGC00113693-01","activity-cherrypicks","10",-1.400,-26.588,"O=C(OC)c1cc(NC(=O)c2nsc3c2cccc3)ccc1"
"77","Minisytravon-Cherrypicks-washed.77","NCGC00118861-01","activity-cherrypicks","28.183829",-2.200,-78.627,"O=C(N1CCN(CCc2ccncc2)CC1)c1ccc(OCCCC)cc1"
"78","Minisytravon-Cherrypicks-washed.78","NCGC00141103-01","activity-cherrypicks","null",4.000,-19.858,"S(=O)(=O)(Nc1c2c(c3oc(C)c(C(=O)C)c3c1)cccc2)c1c(C)cc(C)cc1C"
"79","Minisytravon-Cherrypicks-washed.79","NCGC00113415-01","activity-cherrypicks","15.848932",-2.200,-67.301,"S(Cc1ccc(F)cc1)c1n(Cc2ccc(C(=O)NCc3oc(C)cc3)cc2)c2ncccc2n1"
"80","Minisytravon-Cherrypicks-washed.80","NCGC00126020-01","activity-cherrypicks","15.848932",-2.200,-24.156,"O=C(Nc1c(C)cc(C)cc1)CN1C(=O)C(CNc2ccc(OC)cc2)=Cc2c1cc1OCOc1c2"
"81","Minisytravon-Cherrypicks-washed.81","NCGC00138436-01","activity-cherrypicks","28.183829",-2.200,-65.320,"S(CC(=O)Nc1ccc(OCC)cc1)C1=Nc2c(cccc2)C=2N1C(=O)C(CC(=O)NCc1occc1)N=2"
"82","Minisytravon-Cherrypicks-washed.82","NCGC00136278-01","activity-cherrypicks","null",4.000,-21.524,"S(=O)(=O)(C(CNC(=O)c1cc(OC)c(OC)cc1)c1occc1)c1sccc1"
"83","Minisytravon-Cherrypicks-washed.83","NCGC00129200-01","activity-cherrypicks","28.183829",-2.200,-51.356,"Clc1ccc(C=2S(=O)(=O)N=C(N3CCC(C(=O)NCCc4occc4)CC3)C=2C)cc1"
"84","Minisytravon-Cherrypicks-washed.84","NCGC00124177-01","activity-cherrypicks","null",4.000,-2.290,"S(=O)(=O)(N1CCN(c2ccc(OC)cc2)CC1)c1cc2c(N(C(=O)C)C(C)C2)cc1"
"85","Minisytravon-Cherrypicks-washed.85","NCGC00140739-01","activity-cherrypicks","7.079458",-1.100,-98.280,"O=C(Nc1ccc(OCC)cc1)c1c(NCc2oc(C)cc2)sc2c1CCCCC2"
"86","Minisytravon-Cherrypicks-washed.86","NCGC00137248-01","activity-cherrypicks","null",4.000,-7.740,"Clc1cc(N2CCN(C(c3ccc([N+](=O)[O-])cc3)C3=C(O)n4nc(-c5occc5)nc4S3)CC2)ccc1"
"87","Minisytravon-Cherrypicks-washed.87","NCGC00115038-01","activity-cherrypicks","11.220185",-1.100,-95.268,"Clc1c(C(=O)Nc2ccc(S(=O)(=O)N(CC)c3ccccc3)cc2)nc(S(=O)(=O)C)nc1"
"88","Minisytravon-Cherrypicks-washed.88","NCGC00109403-01","activity-cherrypicks","31.622777",-2.200,-62.277,"S(CC(=O)NCc1c(OC)cccc1)Cc1c(C)oc(-c2cc(OC)c(OC)cc2)n1"
"89","Minisytravon-Cherrypicks-washed.89","NCGC00106223-01","activity-cherrypicks","null",4.000,-12.213,"O(C)c1c(N2C(=O)N(CC=3N=C4N(C(=O)C=3)C(C)=CC=C4)c3sc4c(c3C2=O)CCC4)ccc(OC)c1"
"90","Minisytravon-Cherrypicks-washed.90","NCGC00107652-01","activity-cherrypicks","null",4.000,-25.383,"S(CC(=O)Nc1cc2OCOc2cc1)c1c(-c2ccccc2)[nH]c(-c2ccc(OC)cc2)n1"
"91","Minisytravon-Cherrypicks-washed.91","NCGC00140697-01","activity-cherrypicks","15.848932",-2.200,-42.756,"Clc1cc(NC(=O)c2c(NCc3sccc3)sc3c2CCC(C)C3)c(OC)cc1"
"92","Minisytravon-Cherrypicks-washed.92","NCGC00132775-01","activity-cherrypicks","35.481339",-2.400,-59.189,"S(C)c1ccc(CNC(=O)CN2C(=O)C3N(c4c2cc(C(=O)N2CCCC2)cc4)CCCC3)cc1"
"93","Minisytravon-Cherrypicks-washed.93","NCGC00119369-01","activity-cherrypicks","null",4.000,-1.131,"O=C(N(CCCC)C)Cn1c(C2CN(c3ccc(C)cc3)C(=O)C2)nc2c1cccc2"
"94","Minisytravon-Cherrypicks-washed.94","NCGC00111051-01","activity-cherrypicks","15.848932",-2.200,-24.669,"C(c1sc(CC)cc1)(c1c2c([nH]c1)ccc(C)c2)c1ccccc1"
"95","Minisytravon-Cherrypicks-washed.95","NCGC00116189-01","activity-cherrypicks","25.118864",-2.200,-74.384,"O=C(n1c(NCc2sccc2)nc(-c2occc2)n1)c1cc(OC)c(OC)cc1"
"96","Minisytravon-Cherrypicks-washed.96","NCGC00112431-01","activity-cherrypicks","31.622777",-3.000,-31.894,"FC(F)(F)c1cc(NC(=O)CN2C(=O)CC(c3occc3)Sc3c2cccc3)ccc1"
"97","Minisytravon-Cherrypicks-washed.97","NCGC00110839-01","activity-cherrypicks","15.848932",-2.200,-36.477,"Clc1nc2c(c3sc(C(=O)NCCCN(Cc4ccccc4)C)cc13)cc(C)cc2"
"98","Minisytravon-Cherrypicks-washed.98","NCGC00139656-01","activity-cherrypicks","19.952623",-3.000,-34.635,"Clc1c(CS(=O)(=O)CC2C(=O)Nc3c(N2)ccc(C(=O)NCCCOCC)c3)ccc(F)c1"
"99","Minisytravon-Cherrypicks-washed.99","NCGC00129415-01","activity-cherrypicks","28.183829",-2.200,-69.711,"Clc1c(-c2oc(C(N3CCN(c4ccc(OC)cc4)CC3)c3ccccc3)nn2)cccc1"
"100","Minisytravon-Cherrypicks-washed.100","NCGC00139954-01","activity-cherrypicks","28.183829",-2.400,-24.001,"Clc1c(CC2=C(C)n3nc(SCC(=O)NCCc4ccc(Cl)cc4)nc3N=C2C)cccc1"
"101","Minisytravon-Cherrypicks-washed.101","NCGC00101472-02","activity-cherrypicks","null",4.000,4.380,"S(CCC(=O)Nc1c(O)ccc(C)c1)c1nc(C(F)(F)F)cc(-c2ccc(OC)cc2)n1"
"102","Minisytravon-Cherrypicks-washed.102","NCGC00105416-01","activity-cherrypicks","null",4.000,-19.497,"Clc1ccc(-c2c(C)sc(C=3C(=O)NC4=C(C(=O)CC(c5ccccc5)C4)C=3)n2)cc1"
"103","Minisytravon-Cherrypicks-washed.103","NCGC00118418-01","activity-cherrypicks","14.125375",-1.100,-81.842,"Clc1c(C)ccc(NC(=O)CCCc2onc(-c3occc3)n2)c1"
"104","Minisytravon-Cherrypicks-washed.104","NCGC00141172-02","activity-cherrypicks","15.848932",-2.400,-14.206,"Clc1ccc(C=2Nc3n(C(c4ccccc4)C=2)nc(NS(=O)(=O)c2ccc(NC(=O)C)cc2)n3)cc1"
"105","Minisytravon-Cherrypicks-washed.105","NCGC00115376-01","activity-cherrypicks","12.589254",-2.200,-14.578,"Clc1ccc(OCC(=O)Nc2cc3nc(CCNC(=O)c4occc4)n(C)c3cc2)cc1"
"106","Minisytravon-Cherrypicks-washed.106","NCGC00108680-01","activity-cherrypicks","null",4.000,-10.946,"O=C(NCCCN(CC)Cc1ccccc1)c1sc-2c(C(=O)N(C)c3c-2cccc3)c1"
"107","Minisytravon-Cherrypicks-washed.107","NCGC00137652-01","activity-cherrypicks","7.943282",-1.100,-93.261,"O=C(NCCC)CN1CCN(c2c(C(=O)O)cc(NC(=O)c3ccc(OC)cc3)cc2)CC1"
"108","Minisytravon-Cherrypicks-washed.108","NCGC00123301-01","activity-cherrypicks","null",4.000,-19.218,"S(Cc1ccc(C(F)(F)F)cc1)c1c2c(n(CC(=O)N3CCOCC3)c1)cccc2"
"109","Minisytravon-Cherrypicks-washed.109","NCGC00118396-01","activity-cherrypicks","25.118864",-2.200,-63.095,"O=C(Nc1c(OC)cc(OC)cc1)CCCc1onc(-c2occc2)n1"
"110","Minisytravon-Cherrypicks-washed.110","NCGC00136112-01","activity-cherrypicks","null",4.000,-12.025,"S(=O)(=O)(C(CNC(=O)C(=O)NCCc1c(OC)cccc1)c1occc1)c1ccc(C)cc1"
"111","Minisytravon-Cherrypicks-washed.111","NCGC00099741-01","activity-cherrypicks","12.589254",-2.100,-87.610,"Clc1c(C)cc(OCC(O)CN2CCN(c3cc(Cl)ccc3)CC2)cc1"
"112","Minisytravon-Cherrypicks-washed.112","NCGC00136458-03","activity-cherrypicks","null",4.000,-6.739,"S(CC(=O)Nc1c(-c2sc3c(n2)cccc3)c2c(s1)CN(C)CC2)c1ccc(F)cc1"
"113","Minisytravon-Cherrypicks-washed.113","NCGC00118473-01","activity-cherrypicks","14.125375",-1.200,-77.315,"O=C(Nc1cc2nc(CN3CCN(C(=O)OCC)CC3)n(C(C)C)c2cc1)C"
"114","Minisytravon-Cherrypicks-washed.114","NCGC00100313-01","activity-cherrypicks","31.622777",-2.200,-54.967,"S(=O)(=O)(Nc1cc(C)ccc1)c1cc2c(N[C@](c3ccc(F)cc3)[C@]3[C@@]2C=CC3)cc1"
"115","Minisytravon-Cherrypicks-washed.115","NCGC00134057-01","activity-cherrypicks","null",4.000,-11.743,"S(=O)(=O)(N1CCCC1)c1cc2sc(NC(=O)c3cc(N(C)C)ccc3)nc2cc1"
