"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00396690-01","Activity-cherrypicks","null",4.000,-5.020,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1cc(C)ccc1)c1ccccc1"
"NCGC00423254-01","Activity-cherrypicks","null",4.000,-0.692,"S(Cc1oc(C(=O)N[C@@]2[C@@](C3CCCC3)[C@]3OCC[C@@]23)cc1)C"
"NCGC00395181-01","Activity-cherrypicks","null",4.000,-1.151,"N(CC1CCCCC1)[C@@]1[C@]2OC[C@](Nc3nc(-c4sccc4)ccn3)[C@]2OC1"
"NCGC00424748-01","Activity-cherrypicks","null",4.000,5.309,"O=C(N[C@@]1[C@@](C2CCCC2)[C@]2OCC[C@@]12)Cc1cc2OCOc2cc1"
"NCGC00412030-01","Activity-cherrypicks","29.649624",-2.200,-45.768,"Oc1ncc(C=2c3n(cnc3)C=C(c3c(C)cccc3)C=2)cc1"
"NCGC00412162-01","Activity-cherrypicks","null",4.000,-11.443,"O(C)c1ccc(C=2c3n(cnc3)C=C(c3c(O)cccc3)C=2)cc1"
"NCGC00391000-01","Activity-cherrypicks","20.45077",-2.200,-51.854,"S(=O)(=O)(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)c1c(OC)ccc(OC)c1"
"NCGC00479855-01","Activity-cherrypicks","null",4.000,-5.600,"Brc1c(C(=O)NCC(=O)OC)nc2SC=Cn12"
"NCGC00432326-01","Activity-cherrypicks","null",4.000,-5.398,"Clc1cc(-c2cc(O)c3OCCN(C(=O)C4(C)OCCC4)Cc3c2)ccc1"
"NCGC00412047-01","Activity-cherrypicks","16.673209",-2.200,-78.181,"OCc1cc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)ccc1"
"NCGC00397127-01","Activity-cherrypicks","null",4.000,-11.875,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(CC1CCCCC1)C3)C[C@](O)C2"
"NCGC00392475-01","Activity-cherrypicks","null",4.000,0.055,"O(C)c1nc(N2C[C@]3N(CC4CC4)C(=O)CO[C@]3C2)ncc1"
"NCGC00447590-01","Activity-cherrypicks","null",4.000,-16.640,"O=C(CCc1c(O)nc2c(n1)cccc2)N1C(C(=O)N)Cc2c(cccc2)C1"
"NCGC00416755-01","Activity-cherrypicks","26.425255",-2.200,-57.464,"Fc1c(-c2nccc3C(=O)C=C(c4ccncc4)Oc23)cccc1"
"NCGC00391954-01","Activity-cherrypicks","null",4.000,-6.613,"OCc1onc(CC2(NCc3oc(C)cc3)COC2)c1"
"NCGC00444625-01","Activity-cherrypicks","null",4.000,-8.665,"O=C(N(C)C)c1cnc(-c2c(N(C)C)cccc2)cc1"
"NCGC00378165-01","Activity-cherrypicks","null",4.000,3.137,"Clc1ccc(C(=O)N2CC3(OCC2)CCN(C(=O)C)CC3)cc1"
"NCGC00420090-01","Activity-cherrypicks","23.551533",-2.200,-50.316,"O=C(Nc1cc(OC)ccc1)c1cnc2c(N(Cc3ccccc3)CCC2)c1"
"NCGC00448272-01","Activity-cherrypicks","16.244624",-2.200,-50.212,"O=C(NCc1occc1)N1CCC(C(=O)Nc2cc(-c3occc3)ccc2)CC1"
"NCGC00393695-01","Activity-cherrypicks","null",4.000,-9.304,"O=C1N(Cc2ncccc2)c2c(O[C@@]3CN(C4COC4)[C@]1C3)cccc2"
"NCGC00416617-01","Activity-cherrypicks","26.425255",-2.200,-48.748,"O=C1c2c(c(-c3c(O)cccc3)ncc2)OC(c2cnccc2)=C1"
"NCGC00397178-01","Activity-cherrypicks","5.915878",-1.400,-29.064,"Clc1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1"
"NCGC00394225-01","Activity-cherrypicks","null",4.000,-3.890,"O=C1N(CC2CCCCC2)[C@]2[C@@](OC1)CN(C(C)C)C2"
"NCGC00416789-01","Activity-cherrypicks","37.326665",-2.400,-27.068,"O=C(C)N1CCC2(C(=O)Nc3c2cc(OC)c(OCC2CC2)c3)CC1"
"NCGC00436907-01","Activity-cherrypicks","20.45077",-2.200,-39.426,"O=C(NCc1oc(C)cc1)CN1C(=O)N(c2ccccc2)C(COC)=N1"
"NCGC00416804-01","Activity-cherrypicks","null",4.000,-11.459,"O=C(COC)N1CCC2(C(=O)Nc3c2cc(OC)c(OCC2CC2)c3)CC1"
"NCGC00401655-01","Activity-cherrypicks","33.267425",-2.200,-49.558,"O=C(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)C1CCC1"
"NCGC00416903-01","Activity-cherrypicks","null",4.000,-4.089,"O(CC1CC1)c1c(OC)cc2C3(C(=O)Nc2c1)CCN(c1ncccn1)CC3"
"NCGC00391826-01","Activity-cherrypicks","null",4.000,-13.099,"S=C(Nc1cc(OC)cc(OC)c1)N[C@@]1[C@]2OC[C@](n3c(Oc4cc(N5CCOCC5)ccc4)nnn3)[C@]2OC1"
"NCGC00436219-01","Activity-cherrypicks","null",4.000,2.188,"O=C(N1Cc2ncnc(N3CCOCC3)c2CC1)c1c2nccnc2ccc1"
"NCGC00504893-01","Activity-cherrypicks","null",4.000,-4.305,"Clc1c(CN2CCN(c3c(F)c(CN(C(=O)OC)C)ccc3)CC2)c(Cl)ccc1Cl"
"NCGC00480055-01","Activity-cherrypicks","null",4.000,-13.935,"Clc1cc(CC(=O)N2Cc3c(-c4ccccc4)nc(-c4ccc(Cl)cc4)nc3CC2)ccc1"
"NCGC00421000-01","Activity-cherrypicks","29.649624",-2.200,-67.790,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(C)c2C1)c1ccc(C#N)cc1"
"NCGC00480460-01","Activity-cherrypicks","null",4.000,-1.292,"Clc1ncc(C(=O)N2Cc3c(-c4ccc(Cl)cc4)nc(-c4ccccc4)nc3CC2)cc1"
"NCGC00416639-01","Activity-cherrypicks","7.447649",-1.200,-30.147,"Fc1c(-c2nccc3C(=O)C=C(c4ncccc4)Oc23)cccc1"
"NCGC00391832-01","Activity-cherrypicks","null",4.000,0.161,"O(c1n([C@@]2[C@]3OC[C@](NCc4occc4)[C@]3OC2)nnn1)c1ccc(-n2ncnc2)cc1"
"NCGC00392483-01","Activity-cherrypicks","2.642525",-1.400,-27.457,"O=C(NCc1occc1)[C@]1N[C@@](CC(C)C)c2c3c(n(CC#CC)cc3C1)ccc2"
"NCGC00395629-01","Activity-cherrypicks","null",4.000,0.019,"O(C[C@@]1[C@@](O)[C@@](O)[C@](NCc2oc(C)cc2)C1)c1nc(C)ccc1"
"NCGC00397150-01","Activity-cherrypicks","null",4.000,-14.070,"Fc1cc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)ccc1"
"NCGC00480030-01","Activity-cherrypicks","null",4.000,-5.199,"Clc1cc(C(=O)N2Cc3c(-c4ccccc4)nc(-c4ccc(Cl)cc4)nc3CC2)ccc1"
"NCGC00391799-01","Activity-cherrypicks","20.45077",-2.200,-55.820,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OC(=O)Nc4ccc(OC)cc4)[C@]3OC2)nnn1"
"NCGC00399335-01","Activity-cherrypicks","null",4.000,4.310,"Brc1c(C(=O)N[C@]2[C@@](O)[C@](O)CC(C(=O)N[C@](C(=O)N)Cc3ccc(OC)cc3)=C2)cc(OC)cc1"
"NCGC00433531-01","Activity-cherrypicks","1.447804",-1.200,-56.898,"O=C(NCc1oc(C)cc1)c1cc2N(Cc3ccccc3)C(=O)c3n(ncc3)-c2cc1"
"NCGC00473531-01","Activity-cherrypicks","null",4.000,-4.019,"O=C(N1Cc2c3c(n(C)c2CC1)cccc3)c1ccccc1"
"NCGC00429937-01","Activity-cherrypicks","null",4.000,-8.047,"Oc1c2OCCNCc2cc(-c2c3c(sc2)cccc3)c1"
"NCGC00398371-01","Activity-cherrypicks","null",4.000,-5.622,"O=C(O[C@]1[C@]2OC[C@](Nc3nc(-c4ccc(OC)cc4)ccn3)[C@]2OC1)Nc1cc(OC)ccc1"
"NCGC00424599-01","Activity-cherrypicks","null",4.000,-8.097,"S(CC[C@]1C(=O)Nc2c(C(=O)N1)cc(NC(=O)c1c3c(n(C)cc3)ccc1)cc2)C"
"NCGC00474396-01","Activity-cherrypicks","18.226768",-2.200,-47.881,"Fc1cc(-n2c(C)cc(C=3C(=O)N4C(CC(=O)NCc5occc5)=CSC4=NC=3C)n2)ccc1"
"NCGC00438079-01","Activity-cherrypicks","null",4.000,-25.360,"O(CCn1nnc(-c2oc(CO)cc2)c1)c1c(C)non1"
"NCGC00474287-01","Activity-cherrypicks","null",4.000,-29.123,"Fc1c(C2C(C(=O)OCC)=C(C)N=C3SC=C(CC(=O)NCc4occc4)N23)cccc1"
